"No.","Time","Source","Destination","Protocol","Length","Data"
"1","0.000000","1.7.4","host","USB","31","0997047f"
"3","0.117646","1.7.4","host","USB","31","09970400"
"5","2.153036","1.7.4","host","USB","31","0999087f"
"7","2.200483","1.7.4","host","USB","31","09990800"
"9","3.009015","1.7.4","host","USB","31","0997067f"
"11","3.035998","1.7.4","host","USB","31","09970600"
"13","3.458124","1.7.4","host","USB","31","0999057f"
"15","3.498323","1.7.4","host","USB","31","09990500"
"17","4.116514","1.7.4","host","USB","31","0997077f"
"19","4.197436","1.7.4","host","USB","31","09970700"
"21","5.322909","1.7.4","host","USB","31","0999097f"
"23","5.377124","1.7.4","host","USB","31","09990900"
"25","6.250787","1.7.4","host","USB","31","0997027f"
"27","6.337457","1.7.4","host","USB","31","09970200"
"29","6.717626","1.7.4","host","USB","31","0999007f"
"31","6.744613","1.7.4","host","USB","31","09990000"
"33","16.552749","1.7.4","host","USB","31","0997067f"
"35","16.614685","1.7.4","host","USB","31","09970600"
"37","17.220646","1.7.4","host","USB","31","0999077f"
"39","17.247845","1.7.4","host","USB","31","09990700"
"41","17.606546","1.7.4","host","USB","31","0997077f"
"43","17.686716","1.7.4","host","USB","31","09970700"
"45","19.057985","1.7.4","host","USB","31","0999057f"
"47","19.087200","1.7.4","host","USB","31","09990500"
"49","19.443123","1.7.4","host","USB","31","0997077f"
"51","19.501595","1.7.4","host","USB","31","09970700"
"53","20.451710","1.7.4","host","USB","31","0999097f"
"55","20.508644","1.7.4","host","USB","31","09990900"
"57","25.771634","1.7.4","host","USB","31","0997077f"
"59","25.846589","1.7.4","host","USB","31","09970700"
"61","26.044651","1.7.4","host","USB","31","0999037f"
"63","26.103326","1.7.4","host","USB","31","09990300"
"65","30.426173","1.7.4","host","USB","31","0997027f"
"67","30.486103","1.7.4","host","USB","31","09970200"
"69","30.815562","1.7.4","host","USB","31","0999017f"
"71","30.865255","1.7.4","host","USB","31","09990100"
"73","31.125020","1.7.4","host","USB","31","0997027f"
"75","31.178702","1.7.4","host","USB","31","09970200"
"77","31.921806","1.7.4","host","USB","31","0999007f"
"79","31.970474","1.7.4","host","USB","31","09990000"
"81","37.897847","1.7.4","host","USB","31","0997047f"
"83","37.971302","1.7.4","host","USB","31","09970400"
"85","38.221308","1.7.4","host","USB","31","0999067f"
"87","38.269517","1.7.4","host","USB","31","09990600"
"89","38.658911","1.7.4","host","USB","31","0997047f"
"91","38.766610","1.7.4","host","USB","31","09970400"
"93","39.138258","1.7.4","host","USB","31","09990c7f"
"95","39.212944","1.7.4","host","USB","31","09990c00"
"97","42.819932","1.7.4","host","USB","31","0997047f"
"99","42.897117","1.7.4","host","USB","31","09970400"
"101","43.192380","1.7.4","host","USB","31","0999017f"
"103","43.232046","1.7.4","host","USB","31","09990100"
"105","43.745098","1.7.4","host","USB","31","0997047f"
"107","43.842995","1.7.4","host","USB","31","09970400"
"109","44.541362","1.7.4","host","USB","31","0999077f"
"111","44.602553","1.7.4","host","USB","31","09990700"
"113","49.235384","1.7.4","host","USB","31","0997027f"
"115","49.294051","1.7.4","host","USB","31","09970200"
"117","49.626771","1.7.4","host","USB","31","0999007f"
"119","49.687946","1.7.4","host","USB","31","09990000"
"121","50.478984","1.7.4","host","USB","31","0997067f"
"123","50.557906","1.7.4","host","USB","31","09970600"
"125","51.560235","1.7.4","host","USB","31","0999097f"
"127","51.624700","1.7.4","host","USB","31","09990900"
"129","56.448849","1.7.4","host","USB","31","0997077f"
"131","56.519265","1.7.4","host","USB","31","09970700"
"133","56.776507","1.7.4","host","USB","31","0999037f"
"135","56.830974","1.7.4","host","USB","31","09990300"
"137","57.892025","1.7.4","host","USB","31","0997027f"
"139","57.966963","1.7.4","host","USB","31","09970200"
"141","58.838667","1.7.4","host","USB","31","0999007f"
"143","58.887604","1.7.4","host","USB","31","09990000"
"145","70.944685","1.7.4","host","USB","31","0997057f"
"147","70.999125","1.7.4","host","USB","31","09970500"
"149","73.007320","1.7.4","host","USB","31","0999037f"
"151","73.057764","1.7.4","host","USB","31","09990300"
"153","76.378222","1.7.4","host","USB","31","0997047f"
"155","76.466417","1.7.4","host","USB","31","09970400"
"157","76.700711","1.7.4","host","USB","31","0999057f"
"159","76.742917","1.7.4","host","USB","31","09990500"
"161","362.718650","1.7.4","host","USB","31","0997047f"
"163","362.745605","1.7.4","host","USB","31","09970400"
"165","366.649588","1.7.4","host","USB","31","0999037f"
"167","366.792697","1.7.4","host","USB","31","09990300"
"169","367.797528","1.7.4","host","USB","31","0997047f"
"171","367.918672","1.7.4","host","USB","31","09970400"
"173","368.239631","1.7.4","host","USB","31","0999037f"
"175","368.351034","1.7.4","host","USB","31","09990300"
"177","375.358640","1.7.4","host","USB","31","0997047f"
"179","375.473324","1.7.4","host","USB","31","09970400"
"181","375.954389","1.7.4","host","USB","31","09990f7f"
"183","376.022812","1.7.4","host","USB","31","09990f00"
"185","376.308823","1.7.4","host","USB","31","0997047f"
"187","376.406239","1.7.4","host","USB","31","09970400"
"189","376.685235","1.7.4","host","USB","31","09990e7f"
"191","376.751423","1.7.4","host","USB","31","09990e00"
"193","382.176710","1.7.4","host","USB","31","0997077f"
"195","382.320082","1.7.4","host","USB","31","09970700"
"197","383.063450","1.7.4","host","USB","31","09990b7f"
"199","383.131612","1.7.4","host","USB","31","09990b00"
"201","385.028910","1.7.4","host","USB","31","0997037f"
"203","385.097844","1.7.4","host","USB","31","09970300"
"205","385.377603","1.7.4","host","USB","31","0999037f"
"207","385.411815","1.7.4","host","USB","31","09990300"
"209","389.828522","1.7.4","host","USB","31","0997067f"
"211","389.914437","1.7.4","host","USB","31","09970600"
"213","390.448248","1.7.4","host","USB","31","09990e7f"
"215","390.515445","1.7.4","host","USB","31","09990e00"
"217","390.956769","1.7.4","host","USB","31","0997037f"
"219","391.047699","1.7.4","host","USB","31","09970300"
"221","391.465076","1.7.4","host","USB","31","0999077f"
"223","391.522291","1.7.4","host","USB","31","09990700"
"225","395.772906","1.7.4","host","USB","31","0997037f"
"227","395.850569","1.7.4","host","USB","31","09970300"
"229","396.165079","1.7.4","host","USB","31","0999037f"
"231","396.227026","1.7.4","host","USB","31","09990300"
"233","396.547736","1.7.4","host","USB","31","0997077f"
"235","396.629646","1.7.4","host","USB","31","09970700"
"237","398.098804","1.7.4","host","USB","31","0999027f"
"239","398.164243","1.7.4","host","USB","31","09990200"
"241","403.889563","1.7.4","host","USB","31","0997037f"
"243","403.991746","1.7.4","host","USB","31","09970300"
"245","404.276457","1.7.4","host","USB","31","0999037f"
"247","404.340903","1.7.4","host","USB","31","09990300"
"249","405.146400","1.7.4","host","USB","31","0997067f"
"251","405.273313","1.7.4","host","USB","31","09970600"
"253","406.535420","1.7.4","host","USB","31","0999047f"
"255","406.581634","1.7.4","host","USB","31","09990400"
"257","411.110736","1.7.4","host","USB","31","0997057f"
"259","411.214915","1.7.4","host","USB","31","09970500"
"261","411.580595","1.7.4","host","USB","31","09990f7f"
"263","411.633803","1.7.4","host","USB","31","09990f00"
"265","414.436716","1.7.4","host","USB","31","0997067f"
"267","414.463711","1.7.4","host","USB","31","09970600"
"269","414.726446","1.7.4","host","USB","31","0999067f"
"271","414.762426","1.7.4","host","USB","31","09990600"
"273","421.500351","1.7.4","host","USB","31","0997077f"
"275","421.611744","1.7.4","host","USB","31","09970700"
"277","422.032630","1.7.4","host","USB","31","0999027f"
"279","422.081819","1.7.4","host","USB","31","09990200"
"281","464.563081","1.7.4","host","USB","31","0997037f"
"283","464.661472","1.7.4","host","USB","31","09970300"
"285","465.603615","1.7.4","host","USB","31","0999007f"
"287","465.655822","1.7.4","host","USB","31","09990000"
"289","472.510869","1.7.4","host","USB","31","0997067f"
"291","472.572807","1.7.4","host","USB","31","09970600"
"293","473.108766","1.7.4","host","USB","31","09990d7f"
"295","473.177257","1.7.4","host","USB","31","09990d00"
"297","473.794205","1.7.4","host","USB","31","0997057f"
"299","473.885117","1.7.4","host","USB","31","09970500"
"301","474.484072","1.7.4","host","USB","31","09990f7f"
"303","474.564245","1.7.4","host","USB","31","09990f00"
"305","480.854790","1.7.4","host","USB","31","0997037f"
"307","480.973207","1.7.4","host","USB","31","09970300"
"309","481.376081","1.7.4","host","USB","31","0999077f"
"311","481.437546","1.7.4","host","USB","31","09990700"
"313","482.131893","1.7.4","host","USB","31","0997067f"
"315","482.214548","1.7.4","host","USB","31","09970600"
"317","487.467541","1.7.4","host","USB","31","0999087f"
"319","487.531747","1.7.4","host","USB","31","09990800"
"321","496.758884","1.7.4","host","USB","31","0997037f"
"323","496.844547","1.7.4","host","USB","31","09970300"
"325","497.227178","1.7.4","host","USB","31","0999037f"
"327","497.286146","1.7.4","host","USB","31","09990300"
"329","499.108217","1.7.4","host","USB","31","0997057f"
"331","499.210145","1.7.4","host","USB","31","09970500"
"333","499.661510","1.7.4","host","USB","31","09990f7f"
"335","499.726185","1.7.4","host","USB","31","09990f00"
"337","508.449030","1.7.4","host","USB","31","0997077f"
"339","508.534454","1.7.4","host","USB","31","09970700"
"341","508.964814","1.7.4","host","USB","31","0999007f"
"343","509.022524","1.7.4","host","USB","31","09990000"
"345","509.349971","1.7.4","host","USB","31","0997037f"
"347","509.422629","1.7.4","host","USB","31","09970300"
"349","509.621721","1.7.4","host","USB","31","0999037f"
"351","509.677396","1.7.4","host","USB","31","09990300"
"353","514.817750","1.7.4","host","USB","31","0997077f"
"355","514.897920","1.7.4","host","USB","31","09970700"
"357","515.809345","1.7.4","host","USB","31","0999027f"
"359","515.869804","1.7.4","host","USB","31","09990200"
"361","516.731013","1.7.4","host","USB","31","0997067f"
"363","516.836674","1.7.4","host","USB","31","09970600"
"365","517.102179","1.7.4","host","USB","31","0999067f"
"367","517.156133","1.7.4","host","USB","31","09990600"
"369","529.203448","1.7.4","host","USB","31","0997037f"
"371","529.296865","1.7.4","host","USB","31","09970300"
"373","529.915552","1.7.4","host","USB","31","0999007f"
"375","530.004725","1.7.4","host","USB","31","09990000"
"377","531.499414","1.7.4","host","USB","31","0997077f"
"379","531.611281","1.7.4","host","USB","31","09970700"
"381","532.394817","1.7.4","host","USB","31","0999027f"
"383","532.463489","1.7.4","host","USB","31","09990200"
"385","539.299810","1.7.4","host","USB","31","0997067f"
"387","539.410494","1.7.4","host","USB","31","09970600"
"389","540.243685","1.7.4","host","USB","31","09990d7f"
"391","540.322118","1.7.4","host","USB","31","09990d00"
"393","544.564980","1.7.4","host","USB","31","0997037f"
"395","544.663899","1.7.4","host","USB","31","09970300"
"397","545.297336","1.7.4","host","USB","31","0999047f"
"399","545.377260","1.7.4","host","USB","31","09990400"
"401","551.975333","1.7.4","host","USB","31","0997067f"
"403","552.037750","1.7.4","host","USB","31","09970600"
"405","552.558274","1.7.4","host","USB","31","09990e7f"
"407","552.597002","1.7.4","host","USB","31","09990e00"
"409","559.141066","1.7.4","host","USB","31","0997067f"
"411","559.250211","1.7.4","host","USB","31","09970600"
"413","559.527714","1.7.4","host","USB","31","0999037f"
"415","559.584652","1.7.4","host","USB","31","09990300"
"417","562.012966","1.7.4","host","USB","31","0997037f"
"419","562.108852","1.7.4","host","USB","31","09970300"
"421","562.457529","1.7.4","host","USB","31","0999037f"
"423","562.519003","1.7.4","host","USB","31","09990300"
"425","563.226116","1.7.4","host","USB","31","0997057f"
"427","563.307766","1.7.4","host","USB","31","09970500"
"429","564.668324","1.7.4","host","USB","31","09990f7f"
"431","564.730515","1.7.4","host","USB","31","09990f00"
"433","571.140178","1.7.4","host","USB","31","0997077f"
"435","571.292049","1.7.4","host","USB","31","09970700"
"437","572.531394","1.7.4","host","USB","31","0999007f"
"439","572.582357","1.7.4","host","USB","31","09990000"
"441","573.554955","1.7.4","host","USB","31","0997037f"
"443","573.664120","1.7.4","host","USB","31","09970300"
"445","574.338516","1.7.4","host","USB","31","0999047f"
"447","574.388491","1.7.4","host","USB","31","09990400"
"449","606.949981","1.7.4","host","USB","31","0997067f"
"451","607.034396","1.7.4","host","USB","31","09970600"
"453","607.386835","1.7.4","host","USB","31","0999047f"
"455","607.446022","1.7.4","host","USB","31","09990400"
"457","612.940050","1.7.4","host","USB","31","0997057f"
"459","613.050944","1.7.4","host","USB","31","09970500"
"461","613.478300","1.7.4","host","USB","31","09990f7f"
"463","613.572961","1.7.4","host","USB","31","09990f00"
"465","614.208105","1.7.4","host","USB","31","0997067f"
"467","614.341025","1.7.4","host","USB","31","09970600"
"469","616.782541","1.7.4","host","USB","31","09990b7f"
"471","616.827519","1.7.4","host","USB","31","09990b00"
"473","620.443490","1.7.4","host","USB","31","0997037f"
"475","620.544903","1.7.4","host","USB","31","09970300"
"477","620.838131","1.7.4","host","USB","31","0999037f"
"479","620.901089","1.7.4","host","USB","31","09990300"
"481","621.283472","1.7.4","host","USB","31","0997077f"
"483","621.363920","1.7.4","host","USB","31","09970700"
"485","622.182175","1.7.4","host","USB","31","0999097f"
"487","622.239132","1.7.4","host","USB","31","09990900"
"489","632.051718","1.7.4","host","USB","31","0997067f"
"491","632.102176","1.7.4","host","USB","31","09970600"
"493","632.546527","1.7.4","host","USB","31","0999027f"
"495","632.590733","1.7.4","host","USB","31","09990200"
"497","633.305329","1.7.4","host","USB","31","0997037f"
"499","633.392750","1.7.4","host","USB","31","09970300"
"501","634.507249","1.7.4","host","USB","31","0999007f"
"503","634.571146","1.7.4","host","USB","31","09990000"
"505","637.987579","1.7.4","host","USB","31","0997037f"
"507","638.062755","1.7.4","host","USB","31","09970300"
"509","638.300057","1.7.4","host","USB","31","0999047f"
"511","638.351749","1.7.4","host","USB","31","09990400"
"513","647.275171","1.7.4","host","USB","31","0997077f"
"515","647.343605","1.7.4","host","USB","31","09970700"
"517","648.590481","1.7.4","host","USB","31","0999027f"
"519","648.617968","1.7.4","host","USB","31","09990200"
"521","652.846881","1.7.4","host","USB","31","0997067f"
"523","652.903822","1.7.4","host","USB","31","09970600"
"525","653.116875","1.7.4","host","USB","31","0999047f"
"527","653.168062","1.7.4","host","USB","31","09990400"
"529","656.533516","1.7.4","host","USB","31","0997077f"
"531","656.608449","1.7.4","host","USB","31","09970700"
"533","658.210756","1.7.4","host","USB","31","09990d7f"
"535","658.262962","1.7.4","host","USB","31","09990d00"
